Time,PlanId,DesignId,StepId,ActionType,ActionName,StepInfo,Output
2025-10-16 15:04:18,PMath_Addition,D1,1,xMath,xAdd,,35.0
2025-10-16 15:04:18,PMath_Area,D1,2,xMath,xMultiply,,0.0
2025-10-16 15:04:18,PMath_TriangleArea,D1,2,xMath,xDiv,,0.0
2025-10-16 15:04:18,PMath_Average,D1,2,xMath,xDiv,,13.333333333333334
2025-10-16 15:04:18,PMath_SimpleInterest,D1,2,xMath,xDiv,,0.0
2025-10-16 15:04:18,PMath_CylinderVolume,D1,3,xMath,xMultiply,,0.0
2025-10-16 15:04:18,PMath_CylinderVolume,D2,3,xMath,xMultiply,,0.0
2025-10-16 15:04:18,PMath_Modulo,D1,1,xMath,xModulo,,1.0
2025-10-16 15:04:19,PMath_Round,D1,1,xMath,xRound,,3.14
2025-10-16 15:04:19,PMath_CompoundInterest,D1,4,xMath,xMultiply,,0.0
